English,standard bangla,garo,marma,chakma
What is your favorite type of notebook?,তোমার প্রিয় নোটবুকের ধরণ কী?,নাঙনি সীনবাদ গুব্বা নোটবুক বাগুবা?,,ত প্রিয় নোটবুক আন দি হিদিক্কিন
Can you help with my science project?,আপনি কি আমার বিজ্ঞান প্রকল্পে সাহায্য করতে পারবেন?,না•আ অংনি সায়েন্স প্রজেক্ট ও ডাকচাক না মান্নো?,,তুই হি ম বিজ্ঞান প্রকল্পট সাহায্য গুরি পারিবি?
I'm going to a literature lecture.,আমি সাহিত্যের একটি লেকচারে যাচ্ছি।,অং•গা লিটারেচার নি গিশা লেকচার ছা রিয়াং নো।,,মুই সাহিত্যের ইজ্ঞু লেকচারট যাঙ অর
What is your favorite type of ruler?,তোমার প্রিয় রুলারের ধরণ কী?,না•আ বাদাগা রুলার কো সীনবাদ দা?,,ত প্রিয় রুলার আন হিদিক্কিন?
Can you recommend a good website to study for?,আপনি কি একটি ভালো ওয়েবসাইট সুপারিশ করতে পারবেন অধ্যয়নের জন্য?,পড়িনা নি নাম্মা মামুং ওয়েবসাইট নি বিমুং কো আগান না মান্নো মা?,,তুই হি ইজ্ঞু গম ওয়েবসাইট সুপারিশ গুরি পারিবি মরে পুরিবার লাই?
I'm going to a history seminar.,আমি ইতিহাসের একটি সেমিনারে যাচ্ছি।,অং•গা হিস্ট্রি নি গিশা লেকচার ছা রিয়াং নো।,,মুই ইতিহাসের ইজ্ঞু সেমিনারট যাঙ অর
What is your favorite subject to study?,তোমার প্রিয় অধ্যয়নের বিষয় কী?,না•আ পড়িনা বাগুবা সাবজেক্ট কো সীনবাদ দা?,,ত প্রিয় পুরিবার বিষ্য আন হি?
I'm going to a factory to improve my writing skills.,আমি লেখা দক্ষতা নিয়ে একটি কারখানায় যাচ্ছি।,অং•গা লেখিয়া সুনিঙ্গা•নি গিশা ফ্যাক্টরি ছা রিয়াং নো।,,মুই লিগিবার দক্ষতা লনেলই ইজ্ঞু কারখানাত যাঙ অর
What is your favorite type of backpack?,তোমার প্রিয় ব্যাকপ্যাকের ধরণ কী?,নাঙনি সীনবাদ গুব্বা ব্যাকপ্যাক বাগুবা?,,ত প্রিয় বুগিবার ব্যাগ আন হিদিক্কিন?
Can you help me with my English essay?,আপনি কি আমার ইংরাজি প্রবন্ধে সাহায্য করতে পারবেন?,না•আ অংকো ইংলিশ ও ডাকচাক না মান্নো?,,তুই হি মরে মর ইংরেজি প্রবন্ধ আনট সাহায্য গুরি পারিবি?
I'm going to a language learning seminar.,আমি একটি ভাষা শেখার সেমিনারে যাচ্ছি।,অং•গা গিশা কু•সিক সেমিনার ছা রিয়াং নো।,,মুই ইজ্ঞু ভাষা শিখিবার সেমিনারৎ যাঙ অর
What's your favorite type of highlighter?,তোমার প্রিয় হাইলাইটারের ধরণ কী?,না বাদাগা হাইলাইটার কো সীনবাদা?,,ত প্রিয় হাইলাইটার আন হিদিক্কিন
Can you recommend a good dictionary for me?,আপনি কি আমার জন্য একটি ভালো অভিধান সুপারিশ করতে পারবেন?,না•আ অং•গা নাম্মা ডিকশনারি নি বিমুং কো আগান না মান্নো?,,তুই হি মরে ইজ্ঞু গম অভিধান সুপারিশ গুরি পারিবি?
I'm going to a debate competition.,আমি একটি বিতর্ক প্রতিযোগিতায় যাচ্ছি।,অং•গা গিশা ডিবেট কম্পিটিশন ছা রিয়াং নো।,,মুই ইজ্ঞু্ বিতর্ক প্রতিযোগিতাত যাঙ অর
What's your favorite type of calculator?,তোমার প্রিয় ক্যালকুলেটরের ধরণ কী?,নাঙ•নি সীনবাদ গুব্বা ক্যালকুলেটর বাগুবা?,,ত প্রিয় ক্যাল্কুলেটর আন হিদিক্কিন?
What's the date today?,আজ কি তারিখ?,দা•শাল মো তারিখ?,,ইচ্ছি হি তারিখ?
I'm going to a computer programming exhibition.,আমি একটি কম্পিউটার প্রোগ্রামিং প্রদর্শনীতে যাচ্ছি।,অং•গা গিশা কম্পিউটার এক্সিবিশন ছা রিয়াং নো।,,মুই ইজ্ঞু কম্পিউটার প্রোগ্রামের প্রদর্শনীত যাঙ অর
What's your favorite type of eraser?,তোমার প্রিয় মুছার ধরণ কী?,বাদাগা মুচ্চি•গুব্বা কো সীনবাদা?,,ত প্রিয় মুজিবার আন হিদিক্কিন?
Can you recommend a good app for learning languages?,আপনি কি ভাষা শেখার জন্য একটি ভালো অ্যাপ সুপারিশ করতে পারবেন?,না•আ অং•না কু•সিক সিন্নিং না নি নাম্মা অ্যাপ নি বিমুং কো আগান না মান্নো?,,তুই হি ভাষা শিগিবার লাই ইজ্ঞু আপ সুপারিশ গুরি পারিবি?
I'm going to an environmental science lecture.,আমি একটি পরিবেশ বিজ্ঞান লেকচারে যাচ্ছি।,অংগা গিশা এনভায়রনমেন্টাল সায়েন্স লেকচার ছা রিয়াং নো।,,মুই ইজ্ঞু পরিবেজ বিজ্ঞানের লেকচারট যাঙ অর
What's your favorite laptop for studying?,তোমার প্রিয় ল্যাপটপ অধ্যয়নের জন্য কী?,নাঙনি পড়িনা নি সীনবাদ গুব্বা ল্যাপটপ বাগুবা?,,ত প্রিয় ল্যাপ্টপ আন হি শিগিবার লাই?
Can you help me with my history project?,আপনি কি আমার ইতিহাস প্রকল্পে সাহায্য করতে পারবেন?,না•আ অংনি হিস্ট্রি প্রজেক্ট ও ডাকচাক না মান্নো?,,তুই হি মরে ইতিহাস প্রকল্পট সাহায্য গুরি পারিবি?
I'm going to a time management workshop.,আমি একটি সময় ব্যবস্থাপনা করার কারখানায় যাচ্ছি।,অংগা রাংকশা ম্যানেজমেন্ট ফ্যাক্টরি ছা রিয়াং নো।,,মুই ইজ্ঞু সময় বযাবস্থাপনা কারখানাট যাঙ অর
What's your favorite type of textbook?,তোমার প্রিয় টেক্সটবুকের ধরণ কী?,নাঙনি সীনবাদ গুব্বা টেক্সটবুক বাগুবা?,,ত প্রিয় তেক্সট বুক আন হিদিক্কিন?
I'm looking for a new job.,আমি একটি নতুন চাকরি খুঁজছি,,,মুই ইজ্ঞু নুয়ো চাগুরি টোগাঙ অর
I'm going to an effective study interior workshop.,আমি একটি কার্যকর অধ্যয়ন অভ্যন্তর করার কারখানায় যাচ্ছি।,,,মুই ইজ্ঞু কার্যকর অধ্যয়ন ঢুগিবার কারখানাত যাঙ অর
What's your favorite type of study music?,তোমার প্রিয় অধ্যয়নের সঙ্গীতের ধরণ কী?,নাঙনি সীনবাদ গুব্বা গিট বাগুবা?,,ত প্রিয় অধ্যয়নর গান ন হিদিক্কিন
Can you please give me some tips for concentration?,আপনি কি দয়া করে আমাকে কিছু মনোনিবেশের জন্য টিপস দিতে পারবেন?,কা•সা পাই অং•না মনোযোগ হন্নানি মামুং টিপস হন্না মান্নো?,,তুই হি মরে হুজুলি গুরি হিজু টিপস দিবি নাহি মন আন একাগ্র গুরিবার লাই
What's your favorite type of study snack?,তোমার প্রিয় অধ্যয়ন স্ন্যাকসের ধরণ কী?,না•আ বাদাগুব্বা স্ন্যাকস কো সীনবাদা?,,পুরিবার সময়ত কি নাস্তা গরজ?
I don't like spicy food.,আমি তীক্ষ্ণ খাবার খেতে পছন্দ করি না,অংগা জ্রুয়া ছা•না সিঞ্জা।,,মুই বেজ ঝাল হাবার হে নোপারঙ
I'm going to an effective essay writing workshop.,আমি একটি কার্যকর প্রবন্ধ লেখার কারখানায় যাচ্ছি।,অংগা গিশা আর্টিকেল লেখিয়ানি ফ্যাক্টরি ছা রিয়াং নো।,,মুুই ইজ্ঞু কার্যকর প্রবন্ধ লিগিবার কারখানাত যাঙ অর
What is your favorite type of study environment?,তোমার প্রিয় অধ্যয়ন পরিবেশের ধরণ কী?,না•আ বাদাগা এনভায়রনমেন্ট ও পড়িনা সীনবাদ দা?,,ত প্রিয় সিগিবার পরিবেজ আন হিদিক্কিন?
Can you teach me how to drive?,আপনি কি আমাকে গাড়ি চালানো শেখাতে পারবেন,না•আ অং•না গাড়ি চালাইয়া সিন্নিং না মান্নো মা?,,তুই জি মরে গাড়ি চালানা সেগেবে 
I'm going to a seminar on effective time management for students.,আমি একটি ছাত্রদের জন্য কার্যকর সময় ব্যবস্থাপনা করার সেমিনারে যাচ্ছি,স্টুডেন্ট রাংকো পড়িয়ানি ম্যানেজমেন্ট ফ্যাক্টরি ছা রিয়াং নো।,,মুই ইজ্ঞু ছাত্রর লাই জুরুরি সময় ব্যবস্থা গুরিবার লাই সেমিনারত যাঙ অর
What is your favorite type of study method?,তোমার প্রিয় অধ্যয়ন পদ্ধতির ধরণ কী?,না•আ বাদাগি পড়িনা সীনবাদ দা?,,তর প্রিয় পুরিবার পদ্ধতি আন হি?
I'm thinking about going on vacation.,আমি ছুটিতে যেতে ভাবছি।,অংগা ছুটি ছা রিয়াংনা হামুঙ্গা মুং।,,মুই ছুটিত যেম ভাবঙ্গর
I'm going to a factory with an effective study strategy.,আমি একটি কার্যকর পঠন কৌশল নিয়ে একটি কারখানায় যাচ্ছি।,অং•গা গিশা স্টাডি টেকনিকস রাংকো রাই গিশা ফ্যাক্টরি ছা রিয়াংগা।,,মুই ইজ্ঞু্ঞু জরুরি পঠন হৌশল নিনোনি ইজ্ঞু কারখানাত যাঙ অর
What is your favorite study group activity?,তোমার প্রিয় অধ্যয়ন গোষ্ঠী কার্যকলাপ কী?,,,ত প্রিয় পুরিবার গুষ্ঠি আন অর আলোচনা হি?
I need to buy a new phone.,আমার একটি নতুন ফোন কিনতে হবে।,গিশা গি•তাল ফোন ব্রি•না নাং নো।,,মর ইজ্ঞু নুয়ো ফোন হিনা পুরিবু
I'm going to an effective learning method.,আমি একটি কার্যকর শেখা পদ্ধতিতে যাচ্ছি।,,,মুই ইজ্ঞু হাম পদ্ধতি সিগিবার যাঙ অর
What is your favorite type of study app?,তোমার প্রিয় অধ্যয়ন অ্যাপের ধরণ কী?,বাদাগা অ্যাপ কো সীনবাদা?,,তর প্রিয় পুুরিবার অ্যাপ আন হি?
I'm going to an effective memory method.,আমি একটি কার্যকর মেমোরি পদ্ধতিতে যাচ্ছি।,অংগা গিশা এফিশিয়েন্ট মেমোরি ফ্যাক্টরি ছা রিয়াং•গা।,,মুই ইজ্ঞু কার্যকর শিগিবার পদ্ধতি আনত যাঙ অর
What is your favorite study skill?,তোমার প্রিয় অধ্যয়ন কম্পটেন কী?,নাঙনি পড়িনা নি সীনবাদ গুব্বা কম্পটন বাগুবা?,,তর প্রিয় পুরিবার কম্পটেন হি?
Can I get more coffee?,আমি কি আর কফি পাবো,অংগা কি কফি মাংকু নি?,,মুই হি আরো কফি পেম?
I'm going to a seminar on effective problem-solving skills.,আমি একটি কার্যকর সমস্যা সমাধান দক্ষতা নিয়ে একটি সেমিনারে যাচ্ছি।,অংগা গিশা নেঙনি•কানি ওলগ্রোকাতা কো রাই সেমিনার ছা রিয়াং•গা।,,মুই ইজ্ঞু হাাম সমস্যা সমাধানের দক্ষতা সিগিবার ইজ্ঞু সেমিনারট যাঙ অর
What is your favorite study routine?,তোমার প্রিয় অধ্যয়ন রুটিন কী?,না•আ বাদাগা রুটিন ও পড়িনা সীনবাদা?,,তর প্রিয় পুরিবার রুটিন হি?
Can you recommend a good study partner for me?,আপনি কি আমার জন্য একটি ভালো অধ্যয়ন সঙ্গী সুপারিশ করতে পারবেন?,না•আ অং•না পড়িনা নি নাম্মা রিবেং সান্দি হন্না মান্নো?,,তুই হি মরে ইজ্ঞু গম পুরিবার সঙ্গী সুপারিশ গুরি পারিবি?
I'm going to a factory to meet one.,আমি একজন এর সাথে  যোগাযোগ করার জন্যে একটি কারখানায় যাচ্ছি।,অংগা সাক্সা•মুং গল্পো নি গিশা ফ্যাক্টরি ছা রিয়াং নো।,,মুই এগজন লগে যোগাযোগ গুরিবার লাই কারখানা যাঙ অর
What is your favorite study motivation?,তোমার প্রিয় অধ্যয়ন উৎসাহ কী?,পড়িনা নি নাঙনি সীনবাদ গুব্বা ইনস্পিরেশন মো?,,তর প্রিয় পুরিবার উৎসাহ আন হি?
Can you recommend a good study method for memorization?,আপনি কি মুখস্থ করার জন্য একটি ভালো অধ্যয়ন পদ্ধতি সুপারিশ করতে পারবেন?,মুখস্ত দাগ্নানি নাম্মা টেকনিক কো আগান না মান্নো মা?,,তুই হি মরে ইজ্ঞু্ঞু পড়া মনত রগেবার লাই গম পুরিবার পদ্ধতি সুপারিশ গুরি পারিবি?
I'm going to a seminar on the art of effective test-taking.,আমি একটি কার্যকর পরীক্ষা নেওয়ার কলায় একটি আলোচনাসভায় যাচ্ছি।,অংগা গিশা এফেক্টিভ পরীক্ষার•নি ফ্যাক্টরি ছা রিয়াং নো।,,মুই ইজ্ঞু কার্যকর পরীক্ষে লবার লায় ইজ্ঞু আলোচনা সভাত যাঙর
What is your favorite study chore?,তোমার প্রিয় অধ্যয়ন বিরাট কাজ কী?,,,
How do you spend your evenings?,তুমি কীভাবে তোমার সন্ধ্যায় সময় কাটাও?,না•আ বাদাগি নাঙনি সুমসুম ও নি সময় কো বাডেঙা?,,তুই হেঙোরি ৎ সন্ধ্যা সময় আন হাদাচ?
I am going to a factory with an effective group study method.,আমি একটি কার্যকর গোষ্ঠী অধ্যয়ন পদ্ধতি নিয়ে একটি কারখানায় যাচ্ছি।,,,মুই ইজ্ঞু কার্যকর গোষ্ঠি পুরিবার লই ইজ্ঞু কারখানাত যাঙ অর।
My favorite subject is science.,আমার প্রিয় বিষয় বিজ্ঞান।,অংগনি সীনবাদ গুব্বা সাবজেক্ট সায়েন্স।,,মর প্রিয় বিষয় আন বিজ্ঞেন?
I am going to visit my family next week.,আমি পরের সপ্তাহে আমার পরিবারকে দেখতে যাচ্ছি,আম্বুন শট্নিও অংগনি নকনি মন্দ্রাং কো নিনা রিয়াং নো।,,মুই পরে সাপ্তাত মর পরিবারের চেবার যাঙ অর
What are your plans for the evening?,তোমার সন্ধ্যায় কোন পরিকল্পনা আছে,সুমসুমো না•আ মামুং দাগ্নো মা?,,তর সন্ধ্যাত হন পরিকল্পনা আগে।
What is your favorite type of weather?,তোমার প্রিয় আবহাওয়ার ধরণ কী?,না বাদাগা ওয়েদার কো সীনবাদা?,,ত প্রিয় দেবা আন হি?
What do you like to cook?,তুমি কী রান্না করতে পছন্দ করো,না•আ শং•না রিতনা সিন্না মা?,,তুই হি রানিবার গম পাছ?
I need to do some shopping.,আমার কিছু কেনাকাটা করতে হবে,অংগনি দে মামুং কো ব্রি•না নাং নো।,,মর হিজু হিনা হিনা আগে
I need to buy a new laptop.,আমার একটি নতুন ল্যাপটপ কিনতে হবে,অংগি দে গি•তাল ল্যাপটপ ব্রি•না নাং নো।,,মর ইজ্ঞু্ নুয়ো ল্যাপ্টপ হিনা পুরিবু
What is your favorite type of flower?,তোমার প্রিয় ফুলের ধরণ কী,না•আ বাদাগা বিবল কো সীনবাদা?,,তর প্রিয় ফুললু হি?
What is your favorite type of research project?,তোমার প্রিয় গবেষণা প্রকল্পের ধরণ কী?,নাঙনি সীনবাদ গুব্বা রিসার্চ নি প্রজেক্ট বাগুবা?,,ত প্রিয় গবেষনা আন হি?
I am going to an effective research preparation exhibition.,আমি একটি কার্যকর গবেষণা প্রস্তুতি প্রদর্শনীতে যাচ্ছি।,অংগা গিশা এফেক্টিভ রিসার্চ বানাইগুব্বা ফ্যাক্টরি ছা রিয়াং নো।,,মুই ইজ্ঞু কার্যকর গবেষনা প্রস্তুতিতে প্রদর্শন যাঙ অর 
I am going to a seminar on effective data interpretation.,আমি কার্যকর তথ্য ব্যাখ্যার উপর একটি আলচনাসভায় যাচ্ছি।,অংগা গিশা এফেক্টিভ খবর তলে•আঙ্গুব্বা ফ্যাক্টরি ছা রিয়াংগা।,,মুই ইজ্ঞু কার্যকর তথ্য ব্যাখ্যার উরি ইজ্ঞু আলোচনা সভাত যাঙ অর
What is your favorite type of software for research?,গবেষণার জন্য তোমার কোন ধরনের  সফটওয়্যার  প্রিয়?,রিসার্চ দাগ্না•নি নাঙনি বাদাগা সফটওয়্যার সীনবাদা?,,গবেষনা গুরিবার লাই তর হিদিক্কিন সফটওয়্যার পছন্দ
What is your favorite type of programming language?,তোমার প্রিয় প্রোগ্রামিং ভাষার ধরণ কী?,বাগুবা প্রোগ্রামিং কু•সিক কো না•আ সীনবাদা?,,ত প্রিয় প্রোগ্রামিং ভাষা আন হিদিক্কিন?
I am going to a seminar.,একটি আলোচনাসভায়  যাচ্ছি।,অংগা গিশা আলাপনি সভা ছা রিয়াংগা।,,ইজ্ঞু আলোচনা সভাত যাং অর
What is your favorite type of programming project?,তোমার প্রিয় প্রোগ্রামিং প্রকল্পের ধরণ কী?,নাঙনি সীনবাদ গুব্বা প্রোগ্রামিং প্রজেক্ট বাগুবা?,,ত প্রিয় প্রোগ্রামিং প্রকল্প হিদিক্কিন
I want to go shopping.,আমি কেনাকাটা করতে চাই।,অংগা ব্রি•না ওগল না হামুঙ্গা।,,মুই হিনিবার চাঙ?
I want to buy a new dress.,আমি একটি নতুন পোষাক কেনতে চাই।,অংগা গি•তাল বা•রা চল•লা ব্রি•না হামুঙ্গা।,,মুই ইজ্ঞু নুয়ো সুলুম হিনিবার সাঙ
I want to buy a smartphone.,আমি একটি স্মার্টফোন কেনতে চাই,অংগা গিশা স্মার্টফোন ব্রি•না হামুঙ্গা।,,মুই ইজ্ঞু স্মার্টওয়াচ হিনিবার চাঙ
I want to buy a new watch.,আমি একটি নতুন  ঘড়ি কেনতে চাই।,অংগা গি•তাল ঘড়ি ব্রি•না হামুঙ্গা।,,মুই ইজ্ঞু নুয়ো ঘুড়ি হিনিবার সাঙ
Does this store have a roof?,এই দোকানে কোন ছাদ আছে কি,ইয়া দোকান নি নকখুং ডঙা•মা?,,এই দোয়ান আনত হলো ছাদ আগে নি?
I need it.,আমি এটা প্রয়োজন,অং•না হিং•গুব্বা কো নাং নো।,,মর ইবি লাগিবু
How can I buy it?,আমি এটি কেমন কেনতে পারি?,হিং•গুব্বা কো অংগা বাদাগি ব্রি•না মান্না?,,মুই ইয়ান হেঙোরি হিনি পারিম?
How much does this cloth cost?,এই কাপড়টির মূল্য কত?,ইয়া বা•রা নি দাম বাচিক?,,এই হাবর আনর দাম হদক?
I am willing to buy it.,আমি এটি কেনতে ইচ্ছুক।,অংগা হিং•গুব্বা কো ব্রি•না হামুঙ্গা।,,মুই ইবি হিনিবার চাঙ
Can you show me these shoes?,আপনি এই জুতা গুলি দেখাতে পারেন কি?,না•আ তা জুতা•রাংকো পিনিক•না মান্নো মা?,,তুই এই জুতা আনি দেগে পারিবি
Are these boots in my size?,এই বুটগুলি আমার সাইজের আছে কি?,ইয়া বুট রাং অংগনি সাইজ নি ডঙা মা?,,এই বুট আনি ম সাইজর আগে?
I want to see this chest.,এই বুকে আমি দেখতে চাই।,ইয়া ছেল ও অংগা নিনা হামুঙ্গা।,,মুই এই বুক আনট চেবার সাঙ।
I want to buy it as a gift.,আমি এটি একটি উপহার হিসেবে কিনতে চাই।,অংগা হিং•গুব্বা কো গিফট না নি ব্রি•না হামুঙ্গা।,,মুই ইয়ান এক্কান উপহার ইজেরে লোবার চাঙ
I want to buy this jacket.,আমি এই জাকেটটি কিনতে চাই।,অংগা ইয়া জ্যাকেট কো ব্রি•না হামুঙ্গা।,,মুই এই জেকেট আন হিনিবার চাঙ
I want to buy it for my friend.,আমি এটি আমার বন্ধুর জন্য কিনতে চাই।,অংগা হিং•গুব্বা কো অংগনি বাজু না ব্রি•না হামুঙ্গা।,,মুই ইয়ান মর সমাজ্জির লাই হিনিবার চাঙ
Will it be suitable for the event?,এটি অনুষ্ঠানের জন্য উপযুক্ত হবে কি?,হিং•গুব্বা ইয়া সিরিমনি না নাম্নো মা?,,ইবি অনুষ্ঠানের লাই উপযুক্ত অব হি?
How much do I need this necklace?,আমি এই গলা কত প্রয়োজন।,,,
I want to buy it from here.,আমি এটি এখান থেকে কিনতে চাই।,অংগা হিং•গুব্বা কো হিন•চা নিকো ব্রি•না হামুঙ্গা।,,মুই ইয়ান ইয়ানট্টুন হিনিবার চাঙ
How can I get this t-shirt at a special discount?,এই টিশার্টটি বিশেষ ছাড়ে কি ভাবে পাবো?,ইয়া টি-শার্ট কো দাম কমিমুনা বাদাগি মান্নো?,,এই টিশার্ট আন হেঙোরি বিষেশ ছাড়ট পেম?
How much is the whole set?,এটি পুরো সেট কত টাকা?,গিশা সেট কো বাচি•কিনিং?,,ইয়ান পুরো সেট আন হদক?
Where can I get it?,এটি কোথায় পাবো?,হিং•গুব্বা কো বাচ্ছা মান্নো?,,ইয়ান হুদু পেম?
Is there any kind of offer in this store?,এই স্টোরে কোন প্রকারের অফার আছে?,ইয়া দোকানে মামুং অফার ডঙা মা?,,এই স্টোর আনত হন প্রকারর অফার আগে?
Is it in stock?,এটি স্টকে আছে কি?,হিং•গুব্বা স্টক ও ডঙা মা?,,ইয়ান স্টক ওট আগে হি?
I want to try this product.,আমি এই প্রোডাক্টটি ট্রায়াল করতে চাই।,ইয়া প্রোডাক্ট কো ট্রায়াল দাগি নিনা হামুঙ্গা।,,মুই এই প্রোডাক্ট আন এক্কা ট্রায়াল গুরিবার চাঙ
Is this size right for me?,এই সাইজ আমার জন্য ঠিক আছে কি?,ইয়া সাইজ অং•না হং•নো মা?,,এই সাইজ আন মর লাই ঠিক আগে।
This color is my favorite color.,এই কালারটি আমার পছন্দের কালার।,ইয়া রঙ দে অং•নি সীনবাদ গুব্বা রঙ।,,এই রঙ আন মর লাই দোল রঙ
When might this brand be needed?,এই ব্র্যান্ডের কোন সময় প্রয়োজন হতে পারে?,ইয়া ব্র্যান্ড বাশুগু নাংগিনা বা গিন্নাং?,,এই ব্র‍্যান্ড আন হন সময়ট লাগি পাবে?
I want to buy these shoes as a gift.,আমি এই জুতাগুলি একটি উপহার হিসেবে কিনতে চাই।,অংগা ইয়া জুতা রাঙ্গা কো গিফট না নি ব্রি•না হামুঙ্গা।,,মুই এই জুতো উন ইজ্ঞু উপকার ইজেবে পেবার চাঙ
Is there a shadow on this fabric?,এই কাপড়ের উপর কোন ছায়া আছে কি?,ইয়া বা•রা ও ডিসকাউন্ট ডঙা•মা?,,এই হাবর আনর উরো হনো ছায়া আগে নাহি?
How much do these shoes cost?,আমি এই জুতাগুলির দাম কত?,ইয়া জুতা রাংনি দাম বাচি•কিনিং।,,এই জুতো উনোর দাম হদক?
What brand is this watch?,এই ওয়াচটি কোন ব্র্যান্ডের?,ইয়া ঘড়ি বাগুবা ব্র্যান্ড নি?,,এই ঘুড়ি আন হন ব্র‍্যান্ড অর?
I want to see the condition of it.,আমি এটি পরিস্থিতি দেখতে চাই।,অংগা হিনি আ•সেল কো নিনা হামুঙ্গা।,,মুই এই পরিস্থিতি আন চেবার চাঙ
How is this jewelry?,এই গহনাটি কিভাবে পরিস্থিতি তারা?,,,এই গয়না উন লোই হেঙোরি তারা চিনোন
I want to buy this product as a gift.,আমি এই প্রোডাক্টটি একটি উপহার হিসেবে কিনতে চাই।,,,মুই এই প্রোডাক্ট আন ইজ্ঞু উফার ইজোর পেবার চাঙ
This could be a gift for me.,এটি আমার জন্য একটি উপহার হতে পারে।,অংগা ইয়া প্রোডাক্ট কো গিফট না নি রানা হামুঙ্গা।,,ইয়ান মোর লাই ইজ্ঞু উপহার ওই পারে
Do these shoes have my size?,এই জুতাগুলি আমার সাইজের আছে কি?,ইয়া জুতা রাং অংগনি মাপনি হংনো মা?,,এই জুতো উন ম সাইজের আগে?
What time might this store be needed?,এই স্টোরে কোন সময় প্রয়োজন হতে পারে?,ইয়া স্টোর ও মামুং নাঙ্গি না বা গিন্নাং মা?,,এই স্টোর আনত হন সময় অট লাগি পারে
Is this available in my size?,এই কালারের প্রোডাক্টটি আছে কি? (,ইয়া রঙ নো প্রোডাক্ট ডঙা মা?,,এই হালার অর প্রোডাক্ট আগে নাহি
Is this my size?,এটি আমার সাইজের আছে কি?,হিং•গুব্বা অংগনি মাপনি ডঙা মা?,,ইয়ান ম সাইজর আগে নাহি?
How much is this dress selling for?,এই পোশাকটি কত দিয়ে বিক্রয় হচ্ছে?,ইয়া বা•রা কো বাচিক•নিং না পালুঙ্গা?,,এই সিলুম আন হদক দি বিজিবি?
I want to buy a new camera.,আমি একটি নতুন ক্যামেরা কেনতে চাই।,অংগা গিশা গি•তাল ক্যামেরা ব্রি•না হামুঙ্গা।,,মুই ইজ্ঞু নুয়ো ক্যামেরা লোবার চাঙ
I want to see this line of jewelry.,আমি এই সারি গহনা দেখতে চাই।,অংগা শাড়ি অরোবা নিতোটানি কো নিনা হামুঙ্গা।,,মুই এই সারি গায়না আনি চেবার সাঙ
I like the style of this fabric.,এই কাপড়ের স্টাইলটি আমার ভালো লাগছে।,ইয়া বা•রা নি স্টাইল কো নাম্মি নিকজক।,,এই হাবর আনর স্টাইল আন মর গম লাক্কি
Is this product practical?,এই প্রোডাক্টটি কি ব্যবহারিক?,ইয়া প্রোডাক্ট কো ইউজ দাগ্না মান্নো মা?,,এই প্রোডাক্ট আন হি ব্যবআর উয়ি?
Where can I get these boots?,এই বুটগুলি কোথায় পাবো?,ইয়া বুট রাংকো বানু মান্নো?,,এই বুট আনি হুদু পেম?
Can I pay by credit card?,এটি কি ক্রেডিট কার্ডে পরিশোধ করতে পারি?,হিং•গুব্বা কো ক্রেডিট কার্ড ছা হন্না মান্নো মা?,,ইয়ান হি ক্রেডিট কার্ডট সুজি পারিম?
I want to try these shoes.,আমি এই জুতাগুলি পরীক্ষা করতে চাই।,অংগা ইয়া জুতা রাংকো টেস্ট দাগি নিনা হামুঙ্গা।,,মুই এই জুতো উন পরীক্ষে লোবার চাঙ
Can this be free shipping?,এটি কি বিনামূল্যে শিপিং হতে পারে?,হিং•গুব্বা কো টাকা গ্রি ওয়াডেড না মান্নো মা?,,ইয়ান হি মাআনা শিপিং গুরি পারিবু?
Are these trousers in my size?,এই ট্রাউজারগুলি আমার সাইজের আছে কি?,ইয়া ট্রাউজার রাং অং•নি সাইজ নি ডঙা মা?,,এই ট্রাউজার আনি হি ম সাইজর আগে?
I want to buy it for my family member.,আমি এটি আমার পরিবারের সদস্যের জন্য কিনতে চাই।,হিং•গুব্বা কো অংগনি নকনি মন্দি রাং না রা•না হামুঙ্গা।,,মুই ইয়ান মর পরিবার অর মানুজোর লাই লোবার চাই
I don't want it to be second-hand.,আমি এটি পুরানো ব্যবহৃত জিনিস চাই না।,অংগা দো•সাক্ষা নি ইউজ দাগুবা কো রা•না মান্জানো।,,মুই এই পুরোন ব্যভার গুরি যিয়ি জিনিজ নোগাঙ
I want to buy this suit as a gift.,এই সুইটটি আমি একটি উপহার হিসেবে কিনতে চাই।,ইয়া সুইট কো অংগা গিফট না নি রা•না হামুঙ্গা।,,এই সুইটআন মুই ইজ্ঞু উপহার ইজেরে লোবার চাই
Is it a need?,এটি কি প্রয়োজনের মধ্যে?,হিং•গুব্বা কো নাং নো মা?,,ইয়ান হি লাগিবার?
Are these shoes trendy?,এই জুতাগুলি কি ট্রেন্ডি?,ইয়া জুতা রাং ট্রেন্ডি মা?,,এই জুতো উন হি ট্রেন্ডি?
Is it a need or a want?,এটি একটি প্রয়োজন কি অথবা একটি ইচ্ছা?,হিং•গুব্বা কো নাং•নো না হাসিগ রমরম?,,ইয়ান হি লাগিবার বা ইজ্ঞু ইচ্ছে?
"I want it, but my budget is limited.","আমি এটি চাই, কিন্তু আমার বাজেট সীমিত",অংগা হিং•গুব্বা কো হামিঙ্গা ইন্ডিয়োবা অংগা ব্রি•না হামুঙ্গা।,,মুই ইয়ান চাঙ হিন্তু ম বাজেট হম
What is the feel of these shoes?,এই জুতাগুলির জন্য অনুভূতি কী?,না•আ বাদাগা কো দাম বাচি•কিনিং।,,এই জুতা আনির লাই অনুভূতি হি?
